影片名,上映年代,票房（万元）,,
诡咒,2016,13.11,,
青涩日记,2014,12.89,,
角逐,2015,12.56,,
燃烧的影像,2015,12.43,,
一刻十年,2015,11.71,,
四渡赤水,2016,11.7,,
玩命剧组,2016,11.03,,
回马亭,2016,10.89,,
斗茶,2014,10.83,,
最后证言,2016,10.82,,
这里是新疆,2015,10.56,,
东莞女孩,2015,10.46,,
环城七十里,2014,10.38,,
梦开始的地方,2015,10.36,,
等你追我,2014,10.12,,
钢铁是这样炼成的,2015,10.09,,
火云端,2015,10.07,,
街舞小子,2014,9.89,,
爸爸的木房子,2016,9.8,,
被劫持的爱情,2016,9.77,,
勿忘初心,2016,9.52,,
村支书金岚岚,2014,9.24,,
热情奏鸣曲,2015,8.86,,
爱上处女座,2016,8.8,,
丢羊,2016,8.62,,
T台魔王,2016,8.56,,
荣誉至上,2014,8.39,,
军号密码,2016,8.21,,
红月亮花灯之武陵山歌,2016,7.92,,
分手木马计,2014,7.75,,
少年当自强,2014,7.74,,
鹰笛·雪莲,2015,7.49,,
点对点,2015,7.4,,
武僧传奇之决战程子沟,2014,7.26,,
换个活法,2016,7.06,,
青春时光,2014,7.05,,
受降前夕,2015,6.86,,
我不是贼,2014,6.59,,
男“二”本色,2015,6.29,,
返乡,2016,6.28,,
战金刚,2014,6.22,,
流金,2016,6.17,,
试睡员48小时,2016,6.09,,
追你到天边,2014,5.88,,
女人要爱,2014,5.87,,
1920年代影片展,2016,5.66,,
黄河,2015,5.62,,
钱在路上跑,2014,5.59,,
铁血残阳,2015,5.41,,
少年梦,2016,5.25,,
非同小可,2016,5.2,,
水晶女孩,2015,5.16,,
金色时光,2014,5.12,,
何去何从,2016,5,,
守候的心,2014,4.98,,
我不是王毛,2014,4.75,,
河,2015,4.47,,
飞跃彩虹,2016,4.47,,
一颗心中的“许愿树”,2016,4.4,,
“杏”福来敲门,2015,4.02,,
夺命推理,2016,4.01,,
岛囧,2016,3.92,,
真爱无敌,2014,3.87,,
爸爸的晚餐,2015,3.84,,
消失爱人,2015,3.66,,
鱼龙勇士,2014,3.53,,
小角色,2016,3.5,,
太阳河,2016,3.47,,
细菌大作战,2014,3.41,,
乡村不寂寞,2015,3.37,,
新地雷战—神勇小子,2014,3.09,,
森林孤影,2014,3.09,,
银杏之梦,2014,3.07,,
国旗阿妈,2014,2.92,,
舌尖上的新年,2015,2.79,,
雏鸟的天空,2016,2.73,,
天各一方,2015,2.71,,
非常绑架,2016,2.65,,
迫在眉睫,2015,2.62,,
心语阳光,2016,2.56,,
剑齿王朝,2014,2.54,,
我的老公是卧底,2014,2.4,,
海岛小卫士,2015,2.33,,
时尚女郎之女人江湖,2015,2.2,,
逆境王牌,2016,2.1,,
腊月的春,2014,2.09,,
凤凰台,2014,2.08,,
骆驼客2箭在弦,2016,1.93,,
重返20岁,2014,1.88,,
公鸡母鸡拖拉机,2015,1.87,,
怦·心跳,2016,1.86,,
塔洛,2015,1.84,,
平凡的足球,2016,1.8,,
再见巨人,2014,1.77,,
少年杨靖宇,2015,1.75,,
旭日驱魔,2016,1.7,,
找个高富帅？,2014,1.67,,
我们的十年,2015,1.56,,
八月,2016,1.55,,
图兰朵,2014,1.48,,
好好的活着,2014,1.39,,
幸福梦想,2014,1.29,,
贡嘎日噢,2016,1.21,,
刻在石磨上的勋章,2016,1.16,,
大丑,2014,1.15,,
胜利,2014,1.12,,
星探,2015,0.99,,
山丹丹花儿开,2015,0.96,,
跑过罗湖桥,2014,0.93,,
永远的绿盖头,2016,0.92,,
黄海怀,2014,0.89,,
龙骑侠,2015,0.86,,
情为何物,2014,0.8,,
甜水谣,2016,0.8,,
破五,2014,0.76,,
乡村守望的女人,2014,0.73,,
根据地,2015,0.72,,
乡村女人,2016,0.67,,
爸爸我来救你了,2015,0.65,,
将离草,2015,0.62,,
漫瀚调,2015,0.61,,
18岁18天,2015,0.59,,
十月阳春,2016,0.59,,
燕振昌,2016,0.59,,
风雨日升昌,2015,0.55,,
军医,2014,0.54,,
谍战锦屏山,2015,0.54,,
天生有福,2014,0.53,,
韩国钧,2015,0.52,,
光荣使命,2015,0.5,,
血证一九二八,2016,0.46,,
大顺·1927,2014,0.43,,
恋,2016,0.42,,
黄桷树下的孩子们,2016,0.42,,
红小鬼齐步走,2016,0.39,,
红包,2014,0.38,,
家亦有道,2014,0.37,,
姐妹2再见青春,2015,0.33,,
绿色救赎之追捕真凶,2014,0.29,,
雪途,2016,0.29,,
奇袭胡家台,2015,0.25,,
蚀之霜天晓角,2015,0.25,,
追梦英雄,2015,0.23,,
大山里的春天,2016,0.22,,
我很帅,2015,0.2,,
那座山,2014,0.19,,
祈祷,2014,0.15,,
白牦牛,2016,0.15,,
末日情人,2014,0.14,,
枪过境,2014,0.14,,
妈妈去哪儿,2014,0.13,,
谍莲花,2014,0.13,,
青春逆袭,2014,0.13,,
魔都爱之十二星座,2014,0.13,,
将错，就错,2014,0.12,,
激情跳水梦,2014,0.12,,
叶问3,2015,0.12,,
爱情麻辣烫之情定终身,2015,0.12,,
守灵,2016,0.11,,
六扇门之玄武初现,2015,0.1,,
梦幻列车,2015,0.1,,
花都之恋,2015,0.09,,
宗师,2014,0.08,,
留爱,2015,0.08,,
走出尘埃,2016,0.08,,
心迷宫,2014,0.07,,
新墙头记,2014,0.07,,
东方欲晓,2015,0.06,,
临时演员,2015,0.06,,
浴血反击,2015,0.06,,
情定北塘湾,2014,0.05,,
逆袭的青春,2014,0.05,,
闯入迷宅,2014,0.05,,
你是不是我的爱人,2015,0.05,,
奥赛罗,2015,0.05,,
火车快跑,2015,0.05,,
倒霉的一天,2016,0.05,,
悍匪围城,2016,0.05,,
强者,2014,0.04,,
我是女王,2014,0.04,,
水煮金蝉,2014,0.04,,
竹儿潇潇,2014,0.04,,
去年夏天,2015,0.04,,
守卫者,2015,0.04,,
二蛋狂奔,2014,0.03,,
情战,2014,0.03,,
老大别怕,2014,0.03,,
花香女人花,2014,0.03,,
怨相,2015,0.03,,
抱养奇缘,2015,0.03,,
诡新娘,2015,0.03,,
爱情斑马线,2016,0.03,,
记忆中的未来之盲区,2016,0.03,,
我的情敌是超人,2014,0.02,,
最青春,2014,0.02,,
深圳的孩子,2014,0.02,,
父亲的病,2014,0.02,,
空山鸟语,2014,0.02,,
美丽笨女人,2014,0.02,,
老街警事,2014,0.02,,
迟到的恋曲,2014,0.02,,
铁飞侠,2014,0.02,,
不速之客,2015,0.02,,
催命符之劫后重生,2015,0.02,,
